,index,Season,Week,Include,Team 1,Team 2,Team 1 Final,Team 2 Final,Total Final,Game ID 1,Game ID 2
203,406,2016,11,True,GreenBay,Washington,24,42,66,201611GreenBayWashington,201611WashingtonGreenBay
204,408,2016,11,True,Houston,Oakland,20,27,47,201611HoustonOakland,201611OaklandHouston
205,410,2016,12,True,Minnesota,Detroit,13,16,29,201612MinnesotaDetroit,201612DetroitMinnesota
206,412,2016,12,True,Washington,Dallas,26,31,57,201612WashingtonDallas,201612DallasWashington
207,414,2016,12,True,Pittsburgh,Indianapolis,28,7,35,201612PittsburghIndianapolis,201612IndianapolisPittsburgh
208,416,2016,12,True,Tennessee,Chicago,27,21,48,201612TennesseeChicago,201612ChicagoTennessee
209,418,2016,12,True,Jacksonville,Buffalo,21,28,49,201612JacksonvilleBuffalo,201612BuffaloJacksonville
210,420,2016,12,True,Cincinnati,Baltimore,14,19,33,201612CincinnatiBaltimore,201612BaltimoreCincinnati
211,422,2016,12,True,Arizona,Atlanta,19,38,57,201612ArizonaAtlanta,201612AtlantaArizona
212,424,2016,12,True,NYGiants,Cleveland,27,13,40,201612NYGiantsCleveland,201612ClevelandNYGiants
213,426,2016,12,True,LosAngeles,NewOrleans,21,49,70,201612LosAngelesNewOrleans,201612NewOrleansLosAngeles
214,428,2016,12,True,SanFrancisco,Miami,24,31,55,201612SanFranciscoMiami,201612MiamiSanFrancisco
215,430,2016,12,True,SanDiego,Houston,21,13,34,201612SanDiegoHouston,201612HoustonSanDiego
216,432,2016,12,True,Seattle,TampaBay,5,14,19,201612SeattleTampaBay,201612TampaBaySeattle
217,434,2016,12,True,Carolina,Oakland,32,35,67,201612CarolinaOakland,201612OaklandCarolina
218,436,2016,12,True,NewEngland,NYJets,22,17,39,201612NewEnglandNYJets,201612NYJetsNewEngland
219,438,2016,12,True,KansasCity,Denver,30,27,57,201612KansasCityDenver,201612DenverKansasCity
220,440,2016,12,True,GreenBay,Philadelphia,27,13,40,201612GreenBayPhiladelphia,201612PhiladelphiaGreenBay
221,442,2016,13,True,Dallas,Minnesota,17,15,32,201613DallasMinnesota,201613MinnesotaDallas
222,444,2016,13,True,KansasCity,Atlanta,29,28,57,201613KansasCityAtlanta,201613AtlantaKansasCity
223,446,2016,13,True,Detroit,NewOrleans,28,13,41,201613DetroitNewOrleans,201613NewOrleansDetroit
224,448,2016,13,True,LosAngeles,NewEngland,10,26,36,201613LosAngelesNewEngland,201613NewEnglandLosAngeles
225,450,2016,13,True,Denver,Jacksonville,20,10,30,201613DenverJacksonville,201613JacksonvilleDenver
226,452,2016,13,True,Houston,GreenBay,13,21,34,201613HoustonGreenBay,201613GreenBayHouston
227,454,2016,13,True,Philadelphia,Cincinnati,14,32,46,201613PhiladelphiaCincinnati,201613CincinnatiPhiladelphia
228,456,2016,13,True,Miami,Baltimore,6,38,44,201613MiamiBaltimore,201613BaltimoreMiami
229,458,2016,13,True,SanFrancisco,Chicago,6,26,32,201613SanFranciscoChicago,201613ChicagoSanFrancisco
230,460,2016,13,True,Buffalo,Oakland,24,38,62,201613BuffaloOakland,201613OaklandBuffalo
231,462,2016,13,True,NYGiants,Pittsburgh,14,24,38,201613NYGiantsPittsburgh,201613PittsburghNYGiants
232,464,2016,13,True,Washington,Arizona,23,31,54,201613WashingtonArizona,201613ArizonaWashington
233,466,2016,13,True,TampaBay,SanDiego,28,21,49,201613TampaBaySanDiego,201613SanDiegoTampaBay
234,468,2016,13,True,Carolina,Seattle,7,40,47,201613CarolinaSeattle,201613SeattleCarolina
235,470,2016,13,True,Indianapolis,NYJets,41,10,51,201613IndianapolisNYJets,201613NYJetsIndianapolis
236,472,2016,14,True,Oakland,KansasCity,13,21,34,201614OaklandKansasCity,201614KansasCityOakland
237,474,2016,14,True,Pittsburgh,Buffalo,27,20,47,201614PittsburghBuffalo,201614BuffaloPittsburgh
238,476,2016,14,True,Denver,Tennessee,10,13,23,201614DenverTennessee,201614TennesseeDenver
239,478,2016,14,True,Washington,Philadelphia,27,22,49,201614WashingtonPhiladelphia,201614PhiladelphiaWashington
240,480,2016,14,True,Arizona,Miami,23,26,49,201614ArizonaMiami,201614MiamiArizona
241,482,2016,14,True,SanDiego,Carolina,16,28,44,201614SanDiegoCarolina,201614CarolinaSanDiego
242,484,2016,14,True,Cincinnati,Cleveland,23,10,33,201614CincinnatiCleveland,201614ClevelandCincinnati
243,486,2016,14,True,Chicago,Detroit,17,20,37,201614ChicagoDetroit,201614DetroitChicago
244,488,2016,14,True,Houston,Indianapolis,22,17,39,201614HoustonIndianapolis,201614IndianapolisHouston
245,490,2016,14,True,Minnesota,Jacksonville,25,16,41,201614MinnesotaJacksonville,201614JacksonvilleMinnesota
246,492,2016,14,True,NYJets,SanFrancisco,23,17,40,201614NYJetsSanFrancisco,201614SanFranciscoNYJets
247,494,2016,14,True,NewOrleans,TampaBay,11,16,27,201614NewOrleansTampaBay,201614TampaBayNewOrleans
248,496,2016,14,True,Atlanta,LosAngeles,42,14,56,201614AtlantaLosAngeles,201614LosAngelesAtlanta
249,498,2016,14,True,Seattle,GreenBay,10,38,48,201614SeattleGreenBay,201614GreenBaySeattle
